task_name,priority,category,deadline_gap,estimated_time,actual_time,status,completion_rate,created_at
Conduct code review,High,Work,4,4.39,5.52,Completed,1.26,2026-03-31 19:03:07
Review technical whitepaper,Medium,Study,13,0.7,0.68,Completed,0.97,2025-11-24 13:07:16
Practice coding problems,Low,Study,19,4.01,5.93,Completed,1.48,2025-11-15 10:43:11
Prepare presentation slides,High,Study,7,1.85,3.1,Completed,1.68,2025-11-29 06:51:40
Analyze user metrics,Low,Work,23,1.94,3.29,Completed,1.7,2025-10-27 13:01:19
Analyze dataset,Low,Study,10,2.51,3.84,Completed,1.53,2025-11-12 16:23:33
Update contact list,High,Personal,5,6.95,8.44,Completed,1.21,2025-12-18 09:42:11
Stretching routine,High,Health,5,2.44,2.6,Completed,1.07,2026-01-08 15:44:36
Meditation session,High,Health,2,1.01,1.12,Completed,1.11,2026-01-13 04:27:52
Deploy to staging,High,Work,6,5.21,4.27,Completed,0.82,2026-03-15 11:56:16
Schedule doctor appointment,High,Health,2,2.76,2.37,Completed,0.86,2026-01-11 04:56:32
Attend stakeholder meeting,Low,Work,15,2.33,3.92,Completed,1.68,2025-12-18 20:56:31
Review insurance documents,High,Personal,2,9.12,8.56,Completed,0.94,2026-03-01 13:01:40
Set up CI pipeline,High,Work,4,0.5,0.6,Completed,1.2,2025-12-21 01:00:23
Prepare presentation slides,High,Study,2,0.5,0.57,Completed,1.14,2026-01-01 10:04:51
Morning workout,High,Health,6,1.11,1.11,Completed,1.0,2026-04-02 03:38:53
Organize workspace,High,Personal,4,6.33,7.56,Completed,1.19,2025-12-25 02:18:08
Process invoices,Low,Work,20,0.5,0.68,Completed,1.36,2026-03-11 22:39:46
Meditation session,Low,Health,14,0.65,1.04,Completed,1.6,2025-11-29 09:33:59
Attend stakeholder meeting,Low,Work,19,0.5,0.63,Completed,1.26,2026-02-24 16:09:52
Organize digital files,High,Personal,2,3.72,4.58,Completed,1.23,2026-04-14 08:21:43
Refactor authentication module,High,Work,1,1.16,1.22,Completed,1.05,2026-02-09 17:24:27
Review pull request,Low,Work,20,44.54,47.72,Completed,1.07,2026-04-04 02:48:27
Write API documentation,Medium,Work,8,5.52,7.18,Completed,1.3,2026-01-14 02:02:23
Deploy to staging,High,Work,4,1.4,1.73,Completed,1.24,2026-03-12 19:36:26
Meditation session,Low,Health,9,6.95,11.55,Completed,1.66,2025-10-21 13:19:12
Complete online course module,Medium,Study,6,0.5,0.54,Completed,1.08,2026-03-18 11:47:50
Meal prep,High,Health,2,2.92,2.9,Completed,0.99,2026-03-29 18:04:38
Draft email campaign,High,Work,2,1.68,2.04,Completed,1.21,2026-02-24 18:53:30
Deploy to staging,High,Work,4,0.84,0.92,Completed,1.1,2026-03-15 16:59:30
Conduct team standup,Low,Work,30,0.5,0.47,Completed,0.94,2026-03-17 19:45:37
Update contact list,Low,Personal,10,0.84,0.73,Completed,0.87,2025-10-22 18:39:27
Evening run,Low,Health,19,3.67,2.93,Completed,0.8,2026-03-05 15:11:51
Optimize database query,Low,Work,27,2.68,3.61,Completed,1.35,2025-11-06 13:52:55
Update contact list,High,Personal,6,3.72,3.29,Completed,0.88,2026-03-23 05:01:11
Update project timeline,High,Work,7,3.31,3.65,Completed,1.1,2025-12-24 05:04:27
Plan commute route,High,Personal,1,0.5,0.58,Completed,1.16,2026-02-20 12:45:28
Draft email campaign,High,Work,7,3.42,3.45,Completed,1.01,2025-11-07 06:50:03
Review pull request,Low,Work,21,0.88,1.03,Completed,1.17,2026-01-10 08:30:16
Deploy to staging,Low,Work,27,0.95,1.46,Completed,1.54,2026-02-14 09:20:49
Organize digital files,Low,Personal,22,3.15,2.73,Completed,0.87,2026-01-10 08:54:42
Practice coding problems,Medium,Study,8,4.67,3.32,Completed,0.71,2026-03-28 02:28:28
Meal prep,Medium,Health,10,1.24,1.67,Completed,1.35,2026-03-12 12:27:37
Attend stakeholder meeting,High,Work,4,6.66,6.7,Completed,1.01,2025-10-23 08:44:21
Write API documentation,High,Work,4,2.1,2.15,Completed,1.02,2025-12-25 16:35:30
Read documentation,High,Study,5,1.53,1.88,Completed,1.23,2026-02-02 17:09:41
Optimize database query,Low,Work,9,1.57,1.66,Completed,1.06,2026-03-06 14:46:43
Draft email campaign,Low,Work,14,2.39,3.36,Completed,1.41,2026-02-20 05:06:47
Plan weekly schedule,Low,Personal,7,2.26,3.44,Completed,1.52,2025-12-13 22:13:28
Prepare sales forecast,Medium,Work,7,3.94,4.18,Completed,1.06,2025-12-28 10:44:50
Plan commute route,High,Personal,4,41.31,49.22,Completed,1.19,2025-12-21 00:35:12
Deploy to staging,Low,Work,16,1.28,1.72,Completed,1.34,2025-12-01 13:22:21
Process invoices,Low,Work,10,3.23,3.53,Completed,1.09,2026-03-14 19:02:54
Analyze dataset,Low,Study,30,2.13,2.62,Completed,1.23,2025-12-10 11:34:08
Update contact list,High,Personal,5,0.93,1.18,Completed,1.27,2025-12-11 17:51:25
Meal prep,High,Health,3,2.5,3.06,Completed,1.22,2025-12-26 20:48:54
Deploy to staging,Low,Work,11,3.22,4.21,Completed,1.31,2025-10-26 15:06:21
Yoga practice,Low,Health,29,6.07,7.23,Completed,1.19,2026-02-18 15:40:31
Review technical whitepaper,Medium,Study,3,3.9,4.55,Completed,1.17,2025-12-12 00:06:17
Study research paper,High,Study,2,0.8,0.95,Completed,1.19,2025-12-05 19:37:19
Gym session,High,Health,7,0.5,0.71,Completed,1.42,2026-01-03 14:25:10
Study research paper,High,Study,6,0.5,0.46,Completed,0.92,2025-11-16 06:05:11
Prepare client proposal,Low,Work,16,2.47,3.9,Completed,1.58,2025-12-04 23:38:28
Conduct code review,Low,Work,26,1.67,2.54,Completed,1.52,2026-03-20 08:06:24
Analyze dataset,Low,Study,19,0.71,0.7,Completed,0.99,2026-04-12 04:55:29
Create sprint backlog,Low,Work,20,1.93,2.05,Completed,1.06,2026-02-05 04:59:34
Plan weekly schedule,Low,Personal,30,3.28,4.1,Completed,1.25,2026-03-14 21:36:00
Prepare client proposal,Low,Work,28,0.58,0.69,Completed,1.19,2025-11-17 06:55:35
Review quarterly report,Low,Work,12,2.05,2.26,Completed,1.1,2026-01-05 02:49:02
Update project timeline,Low,Work,16,0.5,0.69,Completed,1.38,2025-12-01 17:44:41
Prepare client proposal,Low,Work,21,1.79,2.01,Completed,1.12,2026-02-28 06:26:00
Prepare sales forecast,High,Work,7,2.32,2.63,Completed,1.13,2026-02-23 04:19:25
Plan commute route,Low,Personal,10,0.5,0.4,Completed,0.8,2025-11-30 10:40:31
Complete online course module,Low,Study,11,0.5,0.61,Completed,1.22,2025-10-29 08:55:15
Prepare sales forecast,Low,Work,30,1.19,2.16,Completed,1.82,2026-04-14 16:03:21
Refactor authentication module,Low,Work,16,3.49,4.34,Completed,1.24,2025-12-09 15:44:48
Conduct code review,High,Work,1,2.17,2.06,Completed,0.95,2025-10-25 12:45:07
File expense reports,High,Personal,5,3.48,3.68,Completed,1.06,2025-10-22 19:31:35
Prepare sales forecast,High,Work,7,20.66,20.16,Completed,0.98,2026-02-08 19:10:43
Schedule doctor appointment,Low,Health,28,1.91,3.51,Completed,1.84,2026-02-06 16:29:35
Update CRM records,Low,Work,22,0.97,1.4,Completed,1.44,2026-02-21 07:14:30
Set up CI pipeline,Low,Work,25,2.17,2.52,Completed,1.16,2026-02-18 01:17:55
Write research summary,High,Study,4,1.38,1.52,Completed,1.1,2026-01-05 02:01:39
Debug production issue,High,Work,7,1.19,1.17,Completed,0.98,2025-12-20 19:59:02
Refactor authentication module,High,Work,6,1.08,1.27,Completed,1.18,2026-03-24 18:28:48
Read documentation,High,Study,3,5.1,6.34,Completed,1.24,2025-12-19 13:33:09
Review quarterly report,Medium,Work,11,7.34,7.4,Completed,1.01,2026-02-22 11:54:25
Clean inbox,Medium,Personal,3,7.59,9.46,Completed,1.25,2026-01-26 11:05:24
Analyze user metrics,Low,Work,27,5.01,5.1,Completed,1.02,2026-03-14 08:48:00
Create sprint backlog,Low,Work,11,0.5,0.55,Completed,1.1,2026-01-10 20:45:23
Review technical whitepaper,Medium,Study,3,0.5,0.53,Completed,1.06,2026-03-22 00:03:34
Review quarterly report,Medium,Work,11,0.5,0.62,Completed,1.24,2026-02-02 00:39:56
Analyze user metrics,Medium,Work,4,1.52,2.54,Completed,1.67,2025-11-09 14:25:09
File expense reports,High,Personal,6,3.3,3.34,Completed,1.01,2026-01-24 14:30:10
Analyze dataset,High,Study,4,0.53,0.62,Completed,1.17,2025-12-04 02:51:21
Update CRM records,High,Work,5,0.5,0.69,Completed,1.38,2026-03-11 16:57:46
Review insurance documents,Medium,Personal,7,3.9,4.22,Completed,1.08,2025-12-22 18:55:15
Schedule doctor appointment,Medium,Health,3,0.5,0.77,Completed,1.54,2026-03-07 18:37:49
Draft email campaign,Medium,Work,13,1.13,1.71,Completed,1.51,2026-04-03 19:23:38
Attend stakeholder meeting,Medium,Work,8,0.5,0.53,Completed,1.06,2026-02-01 23:06:32
Meal prep,Medium,Health,8,1.31,1.59,Completed,1.21,2026-03-02 05:33:56
Update project timeline,Low,Work,20,1.42,2.16,Completed,1.52,2025-12-18 13:47:47
Review insurance documents,High,Personal,7,1.5,1.62,Completed,1.08,2025-12-31 18:14:41
Yoga practice,High,Health,6,1.34,1.58,Completed,1.18,2026-01-21 23:23:10
Gym session,Low,Health,17,2.23,2.02,Completed,0.91,2026-04-05 13:00:35
Review lecture notes,Medium,Study,3,0.5,0.76,Completed,1.52,2026-01-05 09:37:34
Analyze dataset,Low,Study,9,13.86,14.39,Completed,1.04,2026-03-18 13:09:33
Prepare presentation slides,Low,Study,29,4.86,6.51,Completed,1.34,2026-02-20 23:26:44
Process invoices,High,Work,6,4.03,4.47,Completed,1.11,2025-12-30 13:57:34
Analyze dataset,High,Study,7,5.35,7.29,Completed,1.36,2026-04-05 04:35:13
Create sprint backlog,Low,Work,14,1.0,1.64,Completed,1.64,2025-11-30 23:09:01
Plan weekly schedule,Low,Personal,10,2.34,4.16,Completed,1.78,2026-01-11 22:40:45
Update project timeline,Medium,Work,3,0.5,0.69,Completed,1.38,2025-12-19 18:40:58
Prepare presentation slides,Medium,Study,8,2.67,2.03,Completed,0.76,2025-11-15 01:23:30
Debug production issue,Medium,Work,13,0.5,0.35,Completed,0.7,2025-11-19 19:10:07
Conduct code review,High,Work,4,1.36,1.64,Completed,1.21,2026-02-27 10:37:31
Optimize database query,High,Work,2,4.01,4.46,Completed,1.11,2026-01-15 08:06:06
Study research paper,High,Study,6,4.2,3.75,Completed,0.89,2026-04-10 08:12:17
Learn new framework,Medium,Study,13,0.5,0.59,Completed,1.18,2025-11-17 11:12:26
Create sprint backlog,Medium,Work,12,2.2,2.62,Completed,1.19,2026-02-18 20:39:27
Schedule doctor appointment,Medium,Health,10,0.5,0.59,Completed,1.18,2025-11-25 11:24:21
Meal prep,High,Health,1,0.5,0.6,Completed,1.2,2025-12-30 20:16:26
Read documentation,Medium,Study,14,4.41,4.26,Completed,0.97,2025-10-22 01:14:00
Morning workout,Medium,Health,7,2.68,2.51,Completed,0.94,2026-02-04 16:24:28
Prepare healthy lunch,Low,Health,8,2.07,3.38,Completed,1.63,2026-03-11 11:44:29
Optimize database query,Low,Work,16,1.19,1.76,Completed,1.48,2026-02-12 16:06:55
Update contact list,Low,Personal,13,1.23,1.26,Completed,1.02,2025-12-05 10:59:34
Update personal budget,Low,Personal,28,2.17,2.03,Completed,0.94,2026-02-16 18:50:09
Create sprint backlog,Low,Work,8,0.5,0.44,Completed,0.88,2026-03-19 22:10:43
Review pull request,Low,Work,30,4.27,5.6,Completed,1.31,2025-11-04 07:02:22
Yoga practice,Low,Health,20,0.5,0.69,Completed,1.38,2025-11-25 18:45:32
Update CRM records,High,Work,3,0.82,0.87,Completed,1.06,2026-01-23 05:31:14
Meditation session,High,Health,3,1.91,2.32,Completed,1.21,2026-03-23 09:29:46
Conduct team standup,High,Work,7,0.5,0.51,Completed,1.02,2026-01-16 17:34:11
Evening run,High,Health,7,0.5,0.38,Completed,0.76,2026-03-31 00:26:32
Prepare presentation slides,High,Study,7,0.5,0.65,Completed,1.3,2025-10-20 11:51:11
Deploy to staging,Medium,Work,13,3.19,3.63,Completed,1.14,2026-02-08 07:14:05
Conduct team standup,Medium,Work,8,3.59,4.59,Completed,1.28,2026-02-25 19:57:13
Conduct code review,Low,Work,17,6.17,10.44,Completed,1.69,2025-11-29 18:38:00
Read documentation,Medium,Study,10,1.36,1.31,Completed,0.96,2026-02-20 20:39:45
Draft email campaign,High,Work,3,0.5,0.57,Completed,1.14,2025-11-09 08:08:53
Refactor authentication module,High,Work,2,0.5,0.44,Completed,0.88,2026-01-13 21:07:14
Process invoices,High,Work,6,0.5,0.47,Completed,0.94,2026-01-07 04:15:35
Conduct team standup,Medium,Work,9,4.81,6.83,Completed,1.42,2026-03-28 16:16:43
Update project timeline,Medium,Work,7,2.27,3.56,Completed,1.57,2026-02-28 19:55:42
Write test cases,High,Work,2,3.45,3.35,Completed,0.97,2025-11-06 02:00:48
Track daily nutrients,Low,Health,27,6.3,9.38,Completed,1.49,2025-10-29 13:10:16
Analyze user metrics,Low,Work,10,3.0,3.7,Completed,1.23,2025-11-04 14:12:59
Study research paper,Low,Study,26,36.9,30.11,Completed,0.82,2025-10-27 14:42:01
Review technical whitepaper,High,Study,2,3.59,4.98,Completed,1.39,2025-11-26 15:18:53
Prepare sales forecast,High,Work,2,0.5,0.59,Completed,1.18,2025-11-28 17:23:37
Review technical whitepaper,Low,Study,11,1.03,1.16,Completed,1.13,2025-10-18 08:12:07
Process invoices,Low,Work,11,1.12,1.12,Completed,1.0,2025-12-05 11:07:14
Organize workspace,High,Personal,2,0.81,0.79,Completed,0.98,2025-12-26 08:31:03
Organize workspace,Low,Personal,17,1.15,1.47,Completed,1.28,2025-11-20 15:02:01
Conduct team standup,Medium,Work,11,0.5,0.49,Completed,0.98,2026-03-11 14:02:22
Update CRM records,Low,Work,18,9.52,14.89,Completed,1.56,2026-02-10 01:40:18
Update project timeline,Low,Work,26,3.4,3.26,Completed,0.96,2026-03-08 00:11:07
Read documentation,High,Study,5,1.23,1.49,Completed,1.21,2026-01-14 17:37:13
Prepare presentation slides,Medium,Study,9,0.5,0.67,Completed,1.34,2026-02-28 00:26:00
Prepare client proposal,High,Work,4,0.5,0.59,Completed,1.18,2026-04-10 09:52:27
Review pull request,High,Work,1,3.92,3.25,Completed,0.83,2025-12-10 04:39:17
Schedule team outing,Low,Personal,29,32.83,43.23,Completed,1.32,2025-12-30 18:07:50
Stretching routine,High,Health,4,2.45,2.36,Completed,0.96,2026-02-12 08:28:51
Process invoices,Low,Work,10,1.85,1.33,Completed,0.72,2026-03-06 18:20:41
Evening run,Low,Health,14,0.8,0.7,Completed,0.87,2025-12-22 14:31:23
Complete online course module,Low,Study,30,0.5,0.66,Completed,1.32,2025-12-17 11:34:06
Review pull request,Medium,Work,8,2.04,2.25,Completed,1.1,2026-02-28 03:48:19
Prepare presentation slides,High,Study,1,3.6,3.65,Completed,1.01,2025-11-05 13:00:37
Stretching routine,Medium,Health,5,3.35,3.07,Completed,0.92,2025-10-29 10:31:08
Complete online course module,High,Study,3,4.5,5.92,Completed,1.32,2026-01-05 13:29:40
Set up CI pipeline,High,Work,7,0.5,0.49,Completed,0.98,2026-04-04 08:35:24
Schedule doctor appointment,Medium,Health,12,2.2,2.53,Completed,1.15,2025-12-25 01:46:39
Draft email campaign,High,Work,2,1.89,1.91,Completed,1.01,2025-11-30 08:02:39
Schedule team outing,Low,Personal,24,4.3,5.36,Completed,1.25,2025-11-09 02:23:30
Learn new framework,Medium,Study,9,12.44,15.72,Completed,1.26,2026-03-15 19:28:56
Learn new framework,Medium,Study,13,7.02,7.7,Completed,1.1,2025-10-22 21:20:21
Read documentation,Medium,Study,14,51.35,56.07,Completed,1.09,2025-10-23 09:55:08
Attend stakeholder meeting,Low,Work,16,15.71,18.11,Completed,1.15,2025-12-24 22:52:30
Refactor authentication module,High,Work,5,1.27,1.79,Completed,1.41,2025-10-31 07:16:44
Prepare client proposal,High,Work,1,2.15,2.26,Completed,1.05,2026-03-11 16:07:13
Write research summary,High,Study,4,2.64,2.74,Completed,1.04,2025-11-17 08:34:04
Conduct code review,Low,Work,25,0.5,0.47,Completed,0.94,2025-11-03 06:54:57
Morning workout,Low,Health,26,0.5,0.59,Completed,1.18,2026-02-25 15:54:33
Draft email campaign,Low,Work,20,0.84,1.58,Completed,1.88,2026-02-12 16:10:00
Conduct team standup,Low,Work,23,22.0,26.91,Completed,1.22,2025-12-23 19:36:34
Prepare sales forecast,High,Work,6,17.69,13.59,Completed,0.77,2026-01-20 06:51:37
Prepare presentation slides,Low,Study,14,9.23,14.49,Completed,1.57,2026-02-11 04:02:39
Review pull request,High,Work,2,50.94,64.77,Completed,1.27,2026-03-15 04:14:07
Draft email campaign,Low,Work,7,5.7,6.58,Completed,1.15,2026-03-11 20:19:32
Optimize database query,Low,Work,29,2.13,4.46,Completed,2.0,2026-01-22 22:22:44
Complete online course module,Medium,Study,8,1.45,1.83,Completed,1.26,2026-01-02 21:28:23
Plan weekly schedule,High,Personal,4,0.5,0.49,Completed,0.98,2026-04-03 04:42:40
Set up CI pipeline,Low,Work,19,2.73,2.73,Completed,1.0,2025-12-13 00:13:34
Conduct code review,Medium,Work,5,1.59,1.72,Completed,1.08,2026-01-15 03:11:40
Prepare presentation slides,Low,Study,9,3.73,5.28,Completed,1.42,2026-03-30 18:34:11
Update CRM records,Low,Work,19,53.67,60.19,Completed,1.12,2025-11-02 01:30:34
Optimize database query,Low,Work,17,5.13,4.91,Completed,0.96,2025-12-21 11:11:59
Plan commute route,Low,Personal,10,0.84,1.2,Completed,1.43,2026-01-24 19:32:10
Review pull request,Low,Work,18,2.64,2.58,Completed,0.98,2025-12-02 16:04:48
Conduct code review,Low,Work,12,2.81,4.99,Completed,1.78,2025-11-16 11:24:44
Analyze dataset,Low,Study,12,2.64,5.17,Completed,1.96,2026-01-15 21:09:55
Review technical whitepaper,Low,Study,21,0.86,0.74,Completed,0.86,2026-02-19 15:32:47
Schedule team outing,High,Personal,7,0.5,0.66,Completed,1.32,2025-11-16 02:29:59
File expense reports,High,Personal,6,2.31,2.52,Completed,1.09,2026-03-21 10:09:10
Create sprint backlog,Low,Work,9,4.12,3.73,Completed,0.91,2026-01-15 10:51:48
Complete online course module,Medium,Study,4,5.31,6.54,Completed,1.23,2026-02-14 05:08:03
Learn new framework,High,Study,5,1.81,2.19,Completed,1.21,2026-03-20 13:07:33
Practice coding problems,Low,Study,27,2.37,3.27,Completed,1.38,2025-12-19 05:24:38
Organize digital files,High,Personal,1,0.5,0.59,Completed,1.18,2025-11-06 21:20:28
