task_name,priority,category,deadline_gap,estimated_time,actual_time,status,completion_rate,created_at
Book appointment,Low,Personal,4,7.7,14.88,Completed,1.93,2025-11-09 19:33:36
Update resume,Medium,Personal,6,5.45,5.41,Completed,0.99,2026-01-15 15:40:07
Study chapter,High,Personal,23,3.56,4.26,Completed,1.2,2025-11-26 00:33:54
Water plants,Medium,Personal,23,5.8,8.63,Completed,1.49,2025-10-14 06:55:12
Organize files,Medium,Health,21,6.41,8.15,Completed,1.27,2026-03-05 13:40:13
Debug API,High,Work,21,4.58,4.46,Completed,0.97,2025-11-21 01:08:07
Write API docs,High,Study,10,1.74,2.08,Completed,1.2,2026-03-09 12:26:11
Grocery shopping,Medium,Health,23,1.43,1.49,Completed,1.04,2025-12-17 15:01:26
Team standup,Medium,Study,2,1.1,1.66,Completed,1.51,2026-02-20 02:22:28
Gym session,High,Work,22,1.18,1.56,Completed,1.32,2026-01-20 03:49:13
Read documentation,Low,Health,19,6.66,5.01,Completed,0.75,2026-02-24 07:39:59
Clean inbox,Low,Health,30,5.39,5.72,Completed,1.06,2026-01-22 03:01:55
Review PR,High,Personal,14,4.03,4.3,Completed,1.07,2026-02-07 14:14:48
Update portfolio,Medium,Work,16,3.59,3.7,Completed,1.03,2025-12-17 05:26:27
Update dependencies,Medium,Work,9,1.16,1.23,Completed,1.06,2026-02-27 11:31:57
Setup CI pipeline,Low,Study,15,7.02,8.69,Completed,1.24,2025-11-05 21:23:46
Call client,Low,Study,21,6.17,7.86,Completed,1.27,2025-10-10 11:43:35
Draft proposal,Low,Work,10,1.48,1.88,Completed,1.27,2026-02-13 01:16:45
Write unit tests,High,Study,20,7.8,10.14,Completed,1.3,2026-02-15 07:01:33
Design mockup,Low,Health,14,0.6,0.49,Completed,0.82,2026-03-12 20:25:58
Morning workout,High,Study,5,5.36,6.16,Completed,1.15,2026-02-16 14:48:42
Debug API,Medium,Health,16,6.76,6.73,Completed,1.0,2026-01-15 12:16:47
Update resume,High,Study,17,7.41,9.43,Completed,1.27,2025-10-26 23:22:23
Write report,Medium,Study,26,3.05,3.68,Completed,1.21,2026-03-08 19:14:09
Draft proposal,Low,Personal,19,2.74,3.98,Completed,1.45,2026-02-05 14:44:42
Run benchmarks,Medium,Health,12,4.54,4.84,Completed,1.07,2026-02-25 14:26:33
Refactor module,Medium,Health,28,7.5,7.13,Completed,0.95,2026-02-12 21:46:35
Deploy to staging,High,Health,14,6.92,6.38,Completed,0.92,2026-02-22 01:46:33
Draft proposal,Medium,Work,26,7.91,11.52,Completed,1.46,2025-10-30 00:03:37
Practice coding,High,Work,19,4.27,4.55,Completed,1.07,2025-10-19 22:55:52
Learn new framework,Low,Personal,1,7.33,12.02,Completed,1.64,2025-12-19 01:50:13
Update dependencies,High,Work,9,4.02,4.3,Completed,1.07,2026-02-11 23:26:08
Book appointment,Medium,Health,28,6.89,8.45,Completed,1.23,2025-11-30 22:56:46
Morning workout,Low,Personal,3,0.77,0.77,Completed,1.0,2026-02-10 08:43:53
Review PR,Low,Health,4,1.18,1.99,Completed,1.69,2026-02-14 03:34:02
Fix login bug,High,Study,29,5.71,5.22,Completed,0.91,2025-12-02 10:53:37
Write API docs,Medium,Personal,5,3.31,3.29,Completed,0.99,2025-12-19 11:29:55
Water plants,High,Personal,20,1.81,2.42,Completed,1.34,2026-01-28 19:15:28
Create dashboard,Medium,Health,5,7.35,7.25,Completed,0.99,2026-02-01 08:02:57
Morning workout,Medium,Personal,29,5.5,7.94,Completed,1.44,2026-03-24 11:08:19
Book appointment,High,Health,12,3.81,5.31,Completed,1.39,2025-11-27 13:21:29
Deploy to staging,Low,Work,28,2.38,2.6,Completed,1.09,2025-12-14 03:59:55
Morning workout,High,Work,12,3.36,3.99,Completed,1.19,2026-02-13 06:04:30
File taxes,Low,Work,1,3.47,4.98,Completed,1.44,2026-02-10 15:15:20
File taxes,Low,Personal,27,6.09,11.42,Completed,1.88,2025-11-25 00:57:35
Create dashboard,Low,Personal,8,6.51,9.94,Completed,1.53,2026-01-29 00:45:39
Practice coding,Low,Work,21,1.23,1.89,Completed,1.54,2025-11-29 10:55:47
Team standup,Low,Health,5,3.24,2.65,Completed,0.82,2025-11-26 18:30:45
Setup CI pipeline,High,Study,26,2.01,2.35,Completed,1.17,2025-12-10 12:13:04
Morning workout,High,Study,27,2.43,3.33,Completed,1.37,2026-03-06 01:42:25
Water plants,High,Health,3,4.01,3.89,Completed,0.97,2025-11-13 06:38:20
Run benchmarks,Low,Work,26,3.24,3.93,Completed,1.21,2025-11-20 19:39:52
Schedule interview,Medium,Study,24,3.26,4.36,Completed,1.34,2026-01-21 23:26:44
Plan sprint,High,Study,16,5.56,5.07,Completed,0.91,2026-03-21 04:01:52
Pay bills,Low,Study,3,2.16,3.3,Completed,1.53,2025-12-29 14:50:30
Meditate,Low,Health,5,3.56,2.7,Completed,0.76,2025-10-07 16:37:09
Weekly review,High,Study,29,1.23,1.44,Completed,1.17,2025-12-14 22:25:09
Gym session,Low,Personal,23,7.62,14.7,Completed,1.93,2025-12-20 20:28:14
Grocery shopping,Medium,Work,27,5.41,6.45,Completed,1.19,2025-12-18 17:09:22
Write blog post,Low,Work,15,3.28,4.19,Completed,1.28,2025-11-15 07:33:46
Fix login bug,Low,Health,29,3.26,6.43,Completed,1.97,2025-12-09 02:44:22
Weekly review,Medium,Work,4,1.92,2.99,Completed,1.56,2026-03-09 12:12:25
Fix login bug,Low,Study,21,2.09,3.09,Completed,1.48,2025-10-04 14:43:52
Update portfolio,High,Personal,26,7.92,9.36,Completed,1.18,2025-10-13 18:56:41
Debug API,Low,Work,28,2.12,2.13,Completed,1.0,2026-02-27 20:01:02
Create dashboard,Medium,Personal,5,6.94,11.03,Completed,1.59,2026-01-13 08:47:05
Refactor module,High,Study,1,5.46,5.27,Completed,0.97,2025-12-09 00:43:42
Setup CI pipeline,High,Work,2,1.81,1.74,Completed,0.96,2025-12-21 05:01:00
Gym session,Low,Work,15,0.98,1.68,Completed,1.71,2026-01-08 03:03:38
Backup photos,Medium,Study,20,4.28,3.57,Completed,0.83,2026-03-01 13:18:02
Update dependencies,Medium,Health,1,5.33,4.52,Completed,0.85,2026-01-01 11:24:56
Plan meeting,Low,Study,23,1.31,2.47,Completed,1.89,2025-10-14 17:41:23
Gym session,Low,Study,5,1.61,1.7,Completed,1.06,2026-01-31 09:32:58
Meal prep,Medium,Health,17,7.96,8.25,Completed,1.04,2026-01-06 15:14:13
File taxes,High,Personal,4,6.45,8.56,Completed,1.33,2026-02-03 20:41:23
Weekly review,Medium,Health,8,3.89,4.4,Completed,1.13,2026-03-10 03:15:05
Create dashboard,Medium,Study,11,5.97,6.81,Completed,1.14,2026-02-06 14:49:32
Plan meeting,High,Work,16,5.65,5.27,Completed,0.93,2026-03-10 23:32:10
Plan sprint,Medium,Work,24,1.22,1.34,Completed,1.1,2025-10-25 17:34:49
Research tools,Low,Study,18,7.67,8.66,Completed,1.13,2025-10-24 04:50:14
Fix login bug,Low,Study,14,7.56,13.82,Completed,1.83,2026-02-17 11:35:04
Debug API,Low,Health,4,2.84,4.12,Completed,1.45,2025-11-10 18:37:58
Design mockup,High,Study,12,6.85,9.06,Completed,1.32,2025-12-10 20:09:25
Track expenses,Low,Work,14,2.2,3.96,Completed,1.8,2026-02-26 11:41:35
Read documentation,Low,Study,27,7.47,11.96,Completed,1.6,2025-10-06 02:07:47
Read documentation,Low,Personal,30,6.22,7.1,Completed,1.14,2025-10-01 15:39:12
Send emails,Low,Work,3,5.43,4.8,Completed,0.88,2026-01-31 09:59:37
Write unit tests,Low,Study,13,4.48,5.58,Completed,1.25,2025-12-05 15:53:19
Plan meeting,Medium,Work,25,5.91,9.18,Completed,1.55,2026-01-24 05:48:09
Grocery shopping,High,Health,20,1.68,1.55,Completed,0.92,2025-10-16 07:23:44
Call client,Low,Work,20,3.68,4.69,Completed,1.27,2025-11-22 12:14:53
Draft proposal,Medium,Study,10,3.72,4.99,Completed,1.34,2026-01-23 15:24:15
Meditate,High,Personal,20,2.15,1.99,Completed,0.93,2025-11-09 03:52:44
Draft proposal,High,Health,10,6.23,6.63,Completed,1.06,2025-10-01 23:13:20
Plan sprint,High,Study,18,1.47,1.84,Completed,1.25,2026-01-05 14:35:23
Weekly review,High,Work,24,3.48,3.21,Completed,0.92,2025-10-04 02:32:24
Research tools,Medium,Study,19,4.82,5.42,Completed,1.12,2026-02-01 18:28:29
Weekly review,High,Study,11,3.54,3.49,Completed,0.99,2026-01-28 11:52:15
Update dependencies,High,Work,4,3.78,3.86,Completed,1.02,2026-01-22 19:32:14
File taxes,Medium,Personal,24,7.03,7.53,Completed,1.07,2025-12-04 03:24:38
File taxes,High,Study,4,4.33,5.05,Completed,1.17,2025-11-07 02:51:18
Refactor module,Medium,Work,27,5.96,7.85,Completed,1.32,2025-10-29 03:28:58
Update portfolio,High,Work,6,2.42,2.91,Completed,1.2,2026-02-25 02:03:30
Write API docs,High,Health,21,7.63,8.75,Completed,1.15,2026-02-23 23:10:14
Team standup,Low,Study,19,7.43,11.41,Completed,1.54,2026-01-29 17:40:50
Grocery shopping,High,Work,16,3.8,4.26,Completed,1.12,2025-11-28 06:26:37
Fix login bug,Medium,Study,10,4.31,5.04,Completed,1.17,2025-10-07 18:27:38
Track expenses,Medium,Health,28,1.08,1.71,Completed,1.58,2025-10-18 00:00:37
Practice coding,Medium,Personal,26,4.85,6.75,Completed,1.39,2025-10-08 10:22:40
Practice coding,Medium,Work,17,5.04,4.64,Completed,0.92,2025-10-12 11:33:02
Study chapter,Medium,Personal,3,7.87,9.47,Completed,1.2,2025-11-02 23:22:52
Write unit tests,Low,Study,15,3.78,5.22,Completed,1.38,2026-01-26 21:05:51
Water plants,Medium,Work,13,7.38,8.32,Completed,1.13,2025-12-05 04:06:12
Water plants,Low,Health,3,5.35,6.04,Completed,1.13,2026-01-16 19:29:43
Meal prep,Medium,Personal,28,2.39,3.17,Completed,1.33,2026-03-25 11:03:41
Meditate,Medium,Health,22,1.11,1.01,Completed,0.91,2025-12-07 09:28:52
Learn new framework,High,Study,3,4.96,5.23,Completed,1.05,2025-12-12 14:39:04
Setup CI pipeline,High,Work,27,5.53,7.6,Completed,1.37,2026-02-10 13:27:40
Meditate,Low,Personal,17,5.53,6.47,Completed,1.17,2025-12-09 21:01:33
Prepare presentation,High,Personal,25,3.06,3.5,Completed,1.14,2025-11-13 10:57:55
Run benchmarks,High,Work,26,2.72,2.59,Completed,0.95,2026-02-27 03:44:05
Schedule interview,Low,Personal,25,3.03,4.56,Completed,1.5,2026-01-24 10:34:06
Write unit tests,High,Health,23,1.86,2.39,Completed,1.28,2026-03-06 13:36:55
Track expenses,High,Study,22,3.58,4.51,Completed,1.26,2025-12-25 17:18:51
Deploy to staging,Low,Personal,8,6.38,8.9,Completed,1.39,2025-11-29 13:25:23
File taxes,Medium,Study,19,5.59,8.87,Completed,1.59,2025-12-29 02:46:58
Organize files,Medium,Personal,14,4.27,6.72,Completed,1.57,2026-03-08 02:11:14
Review PR,Medium,Work,16,0.89,1.33,Completed,1.49,2026-01-16 03:32:43
Optimize query,Medium,Personal,6,1.13,1.15,Completed,1.02,2026-03-25 06:13:51
Database backup,Medium,Work,30,1.19,1.16,Completed,0.97,2025-12-27 01:36:25
Plan meeting,Medium,Study,17,0.9,0.99,Completed,1.1,2025-12-14 10:51:46
Learn new framework,High,Study,30,0.71,0.67,Completed,0.94,2026-02-16 05:57:41
Pay bills,High,Personal,10,1.53,2.08,Completed,1.36,2025-12-31 04:59:52
Send emails,Low,Study,20,4.02,2.84,Completed,0.71,2025-10-15 20:25:01
Setup CI pipeline,High,Health,18,6.76,9.26,Completed,1.37,2026-01-26 16:47:06
Refactor module,High,Health,8,6.32,6.64,Completed,1.05,2025-10-09 17:43:36
Draft proposal,Low,Work,15,6.45,5.04,Completed,0.78,2026-03-11 22:26:44
Clean inbox,Low,Work,8,4.37,7.14,Completed,1.63,2025-11-26 00:37:27
Backup photos,Low,Work,19,3.15,3.91,Completed,1.24,2026-02-06 11:23:34
Optimize query,Low,Work,3,7.81,15.15,Completed,1.94,2026-01-14 02:48:14
Create dashboard,Medium,Work,2,7.05,9.23,Completed,1.31,2025-12-11 22:54:48
Book appointment,Medium,Work,12,6.41,6.36,Completed,0.99,2026-02-05 01:31:36
Run benchmarks,Low,Study,11,6.01,5.25,Completed,0.87,2025-12-07 21:01:51
Deploy to staging,Low,Personal,25,1.81,2.88,Completed,1.59,2026-02-12 11:56:49
Morning workout,High,Personal,25,0.97,1.33,Completed,1.37,2025-10-07 15:33:19
Optimize query,High,Health,29,6.43,5.92,Completed,0.92,2025-11-29 16:15:24
Morning workout,Low,Study,2,4.05,6.8,Completed,1.68,2025-11-06 13:48:17
Write blog post,High,Health,11,6.99,7.25,Completed,1.04,2026-03-04 16:24:14
Read documentation,Medium,Health,29,6.07,9.5,Completed,1.57,2025-12-05 07:13:24
Plan meeting,Low,Health,30,4.23,7.35,Completed,1.74,2025-11-21 06:12:24
Team standup,High,Work,27,3.73,3.69,Completed,0.99,2025-11-26 12:14:56
Attend webinar,High,Health,10,2.96,3.12,Completed,1.05,2026-01-25 11:37:07
Database backup,High,Health,12,5.67,6.37,Completed,1.12,2026-02-18 14:23:56
Backup photos,Medium,Health,26,5.3,8.26,Completed,1.56,2025-10-15 00:54:55
Debug API,Medium,Health,24,4.35,5.84,Completed,1.34,2025-10-06 12:19:26
Write blog post,High,Health,8,1.45,1.87,Completed,1.29,2025-12-10 14:24:45
Write blog post,Low,Health,5,0.74,1.17,Completed,1.58,2025-12-11 12:01:05
Learn new framework,High,Study,17,4.8,5.2,Completed,1.08,2025-11-30 12:20:26
Setup CI pipeline,High,Health,1,7.7,9.76,Completed,1.27,2026-01-05 08:54:42
Call client,Low,Study,25,1.38,1.43,Completed,1.04,2025-12-26 02:58:54
Update resume,Low,Health,16,7.37,7.08,Completed,0.96,2025-10-26 19:44:18
Water plants,High,Study,15,7.24,10.13,Completed,1.4,2026-03-06 20:27:49
Meditate,Low,Personal,3,3.11,4.4,Completed,1.41,2025-11-25 20:23:04
Write blog post,Low,Personal,23,5.82,8.9,Completed,1.53,2026-03-03 14:05:29
Draft proposal,High,Work,26,7.89,7.65,Completed,0.97,2026-03-02 22:36:13
Prepare presentation,Medium,Work,12,4.66,5.47,Completed,1.17,2026-01-15 14:03:33
Research tools,High,Health,23,2.82,3.55,Completed,1.26,2026-01-10 13:07:03
Weekly review,Low,Study,11,1.05,1.61,Completed,1.53,2025-12-26 20:13:53
Read documentation,High,Personal,25,7.08,8.32,Completed,1.18,2026-01-22 14:28:46
Setup CI pipeline,Medium,Personal,28,4.27,3.61,Completed,0.85,2025-10-24 13:49:51
Database backup,Medium,Study,11,1.73,2.68,Completed,1.55,2025-11-13 05:57:57
Prepare presentation,High,Study,21,2.38,3.28,Completed,1.38,2025-11-22 18:13:58
Gym session,Low,Personal,17,4.5,6.9,Completed,1.53,2026-01-23 09:13:32
Write API docs,High,Work,24,5.44,7.35,Completed,1.35,2025-12-05 00:37:10
Learn new framework,High,Personal,21,1.11,1.43,Completed,1.29,2025-11-20 20:35:03
Book appointment,Low,Study,21,3.62,2.68,Completed,0.74,2026-03-22 02:13:26
Water plants,Low,Health,16,7.67,7.81,Completed,1.02,2026-03-06 05:43:07
Research tools,Medium,Health,23,3.9,3.31,Completed,0.85,2025-12-24 19:54:30
Attend webinar,Medium,Study,20,2.03,1.86,Completed,0.92,2026-03-16 18:00:35
Update portfolio,Low,Study,12,7.91,15.57,Completed,1.97,2025-10-25 20:36:45
Grocery shopping,Low,Health,11,4.71,4.78,Completed,1.01,2025-10-24 06:11:30
Track expenses,High,Health,2,1.56,1.63,Completed,1.04,2025-12-14 01:27:58
Write API docs,High,Study,29,7.72,7.56,Completed,0.98,2025-12-03 01:09:35
Draft proposal,High,Study,16,6.22,8.7,Completed,1.4,2025-12-30 02:42:52
Call client,Medium,Study,13,0.67,0.81,Completed,1.21,2025-11-16 05:04:30
Learn new framework,High,Health,16,0.88,1.05,Completed,1.19,2026-03-13 03:09:44
Create dashboard,Medium,Study,28,4.53,4.01,Completed,0.89,2025-10-26 11:22:49
Organize files,Medium,Study,13,3.24,2.72,Completed,0.84,2026-01-17 13:27:16
Plan sprint,Low,Study,13,2.66,3.61,Completed,1.36,2026-02-25 21:34:46
Update dependencies,Low,Study,4,5.6,4.86,Completed,0.87,2025-10-19 05:46:00
Meal prep,Medium,Health,12,4.68,6.57,Completed,1.4,2025-11-08 02:52:31
Deploy to staging,Low,Health,2,0.8,0.7,Completed,0.87,2025-12-04 03:16:49
Team standup,High,Personal,17,5.05,4.9,Completed,0.97,2026-01-27 12:18:10
Code review,Medium,Health,24,7.93,11.69,Completed,1.47,2026-01-23 18:09:20
Code review,Low,Work,16,4.72,8.31,Completed,1.76,2025-12-10 23:52:12
Pay bills,Medium,Work,26,4.88,7.41,Completed,1.52,2026-03-18 19:28:29
